mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-6965-3p,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero
mmT-miR-6971-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6973a-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6973a-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-6994-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7024-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7041-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7042-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7048-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-706,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7063-3p,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero,zero
mmT-miR-7069-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,1,zero
mmT-miR-7085-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7086-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,1,zero,zero
mmT-miR-7087-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7212-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7654-5p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero,zero
mmT-miR-7664-3p,zero,zero,zero,zero,zero,zero,zero,zero,3,zero,zero,zero
mmT-miR-7672-3p,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,3,zero
mmT-miR-8091,zero,zero,zero,zero,zero,zero,zero,zero,4,zero,2,zero
mmT-miR-1194,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-126b-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero
mmT-miR-136-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,1,zero
mmT-miR-184-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-1966-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-1b-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero
mmT-miR-292a-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-3074-1-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,1,1
mmT-miR-449a-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-466e-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-5626-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-6382,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero
mmT-miR-6516-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-653-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-6908-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-6985-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-7002-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-7024-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero
mmT-miR-7038-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-7040-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero,zero
mmT-miR-7063-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-7092-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-7093-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-7115-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-714,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,1,zero
mmT-miR-7651-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero,zero
mmT-miR-190a-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,2
mmT-miR-1962,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-202-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-3094-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-3102-5p.2-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-3473f,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-412-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero
mmT-miR-491-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-493-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-494-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,3,zero
mmT-miR-668-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-669k-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-6983-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,2,zero
mmT-miR-6996-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-7090-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-741-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-8117,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1,zero
mmT-miR-1971,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,2
mmT-miR-380-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1
mmT-miR-466l-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1
mmT-miR-6403,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1
mmT-miR-6933-3p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1
mmT-miR-7001-5p,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,1
