mmT-miR__KEY,d1338_1_counts,d1338_2_counts,d1338_3_counts,d997_1_counts,d997_2_counts,d997_3_counts,mf1_counts,mf2_counts,mf3_counts,wt1_counts,wt2_counts,wt3_counts
mmT-miR-378a-5p,zero,zero,2,1,zero,zero,744,3341,1003,395,516,134
mmT-miR-486b-5p,zero,zero,1,1,zero,zero,1889,14630,3969,25,38,14
mmT-miR-6395,zero,zero,1,zero,zero,zero,3,24,7,zero,zero,zero
mmT-let-7k,zero,zero,zero,1,zero,zero,1,20,5,4,9,3
mmT-miR-15b-5p,zero,zero,zero,1,1,zero,862,5244,1701,491,606,146
mmT-miR-1955-5p,zero,zero,zero,1,zero,1,5,42,14,3,zero,1
mmT-miR-200c-3p,zero,zero,zero,1,zero,zero,180,1016,355,216,268,57
mmT-miR-300-3p,zero,zero,zero,1,zero,zero,15,103,41,14,18,3
mmT-miR-3088-3p,zero,zero,zero,1,zero,zero,2,5,1,1,zero,zero
mmT-miR-382-5p,zero,zero,zero,1,zero,zero,zero,20,5,6,3,1
mmT-miR-574-5p,zero,zero,zero,1,zero,1,66,295,90,628,804,185
mmT-miR-664-5p,zero,zero,zero,1,zero,zero,36,200,56,31,35,14
mmT-miR-667-5p,zero,zero,zero,1,2,zero,zero,1,zero,1,zero,zero
mmT-miR-674-5p,zero,zero,zero,1,zero,zero,222,1211,372,215,256,94
mmT-miR-7649-5p,zero,zero,zero,1,zero,zero,2,22,6,2,3,zero
mmT-miR-127-3p,zero,zero,zero,zero,1,2,163,845,258,101,205,32
mmT-miR-212-3p,zero,zero,zero,zero,1,zero,32,174,44,61,73,15
mmT-miR-326-3p,zero,zero,zero,zero,1,zero,402,2239,656,359,366,91
mmT-miR-34a-5p,zero,zero,zero,zero,1,zero,45,310,95,73,83,20
mmT-miR-421-3p,zero,zero,zero,zero,1,zero,30,179,67,27,27,7
mmT-miR-466f,zero,zero,zero,zero,1,zero,2,10,3,1,1,1
mmT-miR-5114,zero,zero,zero,zero,1,1,24,105,22,8,11,3
mmT-miR-6240,zero,zero,zero,zero,1,zero,4,65,8,5,3,2
mmT-let-7i-3p,zero,zero,zero,zero,zero,1,121,594,212,136,127,25
mmT-miR-1249-3p,zero,zero,zero,zero,zero,1,298,1525,436,100,90,21
mmT-miR-125b-2-3p,zero,zero,zero,zero,zero,1,78,333,111,54,49,11
mmT-miR-139-3p,zero,zero,zero,zero,zero,1,122,508,143,64,84,14
mmT-miR-155-3p,zero,zero,zero,zero,zero,1,61,303,70,104,93,34
mmT-miR-320-5p,zero,zero,zero,zero,zero,1,zero,2,1,zero,zero,1
mmT-miR-363-3p,zero,zero,zero,zero,zero,1,37,207,77,33,38,13
mmT-miR-434-5p,zero,zero,zero,zero,zero,1,10,83,18,9,15,6
mmT-let-7b-3p,zero,zero,zero,zero,zero,zero,15,39,16,7,2,5
mmT-let-7c-1-3p,zero,zero,zero,zero,zero,zero,1,15,2,1,zero,zero
mmT-let-7e-3p,zero,zero,zero,zero,zero,zero,59,282,95,19,53,15
mmT-let-7f-2-3p,zero,zero,zero,zero,zero,zero,5,23,4,1,3,zero
mmT-miR-101a-5p,zero,zero,zero,zero,zero,zero,2,9,zero,zero,zero,zero
mmT-miR-101c,zero,zero,zero,zero,zero,zero,2,20,9,5,zero,1
mmT-miR-106a-5p,zero,zero,zero,zero,zero,zero,6,24,27,5,6,1
mmT-miR-106b-5p,zero,zero,zero,zero,zero,zero,161,966,328,117,142,38
mmT-miR-1187,zero,zero,zero,zero,zero,zero,3,zero,zero,1,4,zero
mmT-miR-1191a,zero,zero,zero,zero,zero,zero,20,170,35,13,17,zero
mmT-miR-1191b-5p,zero,zero,zero,zero,zero,zero,10,60,14,2,2,2
mmT-miR-1195,zero,zero,zero,zero,zero,zero,10,39,19,1,6,zero
mmT-miR-1198-3p,zero,zero,zero,zero,zero,zero,2,15,7,1,1,2
mmT-miR-12178-3p,zero,zero,zero,zero,zero,zero,6,19,7,1,zero,2
mmT-miR-12182-3p,zero,zero,zero,zero,zero,zero,5,48,9,4,5,3
mmT-miR-12189-3p,zero,zero,zero,zero,zero,zero,6,11,2,1,1,zero
mmT-miR-12191-3p,zero,zero,zero,zero,zero,zero,3,18,2,3,1,zero
mmT-miR-12199-3p,zero,zero,zero,zero,zero,zero,1,23,1,1,2,2
mmT-miR-12201-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-122-5p,zero,zero,zero,zero,zero,zero,10,54,7,3,7,zero
mmT-miR-1231-3p,zero,zero,zero,zero,zero,zero,1,9,2,zero,zero,zero
mmT-miR-125b-1-3p,zero,zero,zero,zero,zero,zero,19,63,10,10,13,6
mmT-miR-126a-3p,zero,zero,zero,zero,zero,zero,48,332,139,87,102,24
mmT-miR-126a-5p,zero,zero,zero,zero,zero,zero,1,7,4,5,3,3
mmT-miR-127-5p,zero,zero,zero,zero,zero,zero,2,16,3,zero,1,zero
mmT-miR-128-1-5p,zero,zero,zero,zero,zero,zero,4,30,5,2,4,zero
mmT-miR-129-2-3p,zero,zero,zero,zero,zero,zero,3,12,8,3,6,zero
mmT-miR-129b-3p,zero,zero,zero,zero,zero,zero,3,zero,zero,zero,zero,zero
mmT-miR-1306-3p,zero,zero,zero,zero,zero,zero,1,5,2,3,2,1
mmT-miR-1306-5p,zero,zero,zero,zero,zero,zero,21,136,49,5,4,2
mmT-miR-130b-3p,zero,zero,zero,zero,zero,zero,6,75,34,6,14,3
mmT-miR-134-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
mmT-miR-134-5p,zero,zero,zero,zero,zero,zero,3,56,15,16,14,3
mmT-miR-138-1-3p,zero,zero,zero,zero,zero,zero,1,zero,1,zero,1,zero
mmT-miR-138-5p,zero,zero,zero,zero,zero,zero,2,13,5,5,3,1
mmT-miR-141-3p,zero,zero,zero,zero,zero,zero,7,37,9,3,9,2
mmT-miR-144-3p,zero,zero,zero,zero,zero,zero,211,1471,434,1,1,2
mmT-miR-144-5p,zero,zero,zero,zero,zero,zero,61,463,189,zero,2,zero
mmT-miR-145a-5p,zero,zero,zero,zero,zero,zero,6,3,3,6,2,3
mmT-miR-146a-3p,zero,zero,zero,zero,zero,zero,1,2,1,zero,zero,zero
mmT-miR-147-5p,zero,zero,zero,zero,zero,zero,311,1813,580,344,367,106
mmT-miR-148a-5p,zero,zero,zero,zero,zero,zero,65,523,132,75,70,23
mmT-miR-148b-5p,zero,zero,zero,zero,zero,zero,170,958,334,171,219,47
mmT-miR-154-5p,zero,zero,zero,zero,zero,zero,1,4,zero,zero,zero,zero
mmT-miR-16-2-3p,zero,zero,zero,zero,zero,zero,14,49,27,4,9,1
mmT-miR-1668,zero,zero,zero,zero,zero,zero,11,66,8,3,2,zero
mmT-miR-181b-1-3p,zero,zero,zero,zero,zero,zero,1,25,3,10,4,1
mmT-miR-181c-3p,zero,zero,zero,zero,zero,zero,30,109,33,16,13,1
mmT-miR-181c-5p,zero,zero,zero,zero,zero,zero,31,163,53,13,18,6
mmT-miR-182-3p,zero,zero,zero,zero,zero,zero,1,zero,2,1,zero,2
mmT-miR-183-3p,zero,zero,zero,zero,zero,zero,1,10,1,1,zero,zero
mmT-miR-183-5p,zero,zero,zero,zero,zero,zero,614,3436,875,905,1140,290
mmT-miR-1839-3p,zero,zero,zero,zero,zero,zero,18,131,27,37,38,11
mmT-miR-1843a-3p,zero,zero,zero,zero,zero,zero,128,638,150,67,69,15
mmT-miR-1843b-5p,zero,zero,zero,zero,zero,zero,646,3302,1003,452,473,148
mmT-miR-186-3p,zero,zero,zero,zero,zero,zero,2,7,1,2,zero,zero
mmT-miR-188-5p,zero,zero,zero,zero,zero,zero,11,58,17,11,13,3
mmT-miR-18a-3p,zero,zero,zero,zero,zero,zero,29,187,56,9,21,2
mmT-miR-18a-5p,zero,zero,zero,zero,zero,zero,40,228,85,42,39,8
mmT-miR-18b-5p,zero,zero,zero,zero,zero,zero,3,27,2,2,6,3
mmT-miR-190b-5p,zero,zero,zero,zero,zero,zero,3,18,2,2,4,2
mmT-miR-191-3p,zero,zero,zero,zero,zero,zero,20,125,59,19,35,8
mmT-miR-1929-5p,zero,zero,zero,zero,zero,zero,1,14,3,2,5,zero
mmT-miR-1930-5p,zero,zero,zero,zero,zero,zero,10,43,10,4,5,4
mmT-miR-1932,zero,zero,zero,zero,zero,zero,1,15,4,1,4,zero
mmT-miR-1933-3p,zero,zero,zero,zero,zero,zero,28,124,27,13,22,13
mmT-miR-1933-5p,zero,zero,zero,zero,zero,zero,1,5,zero,zero,1,zero
mmT-miR-1934-3p,zero,zero,zero,zero,zero,zero,1,8,4,zero,4,zero
mmT-miR-1934-5p,zero,zero,zero,zero,zero,zero,14,66,17,7,6,1
mmT-miR-1936,zero,zero,zero,zero,zero,zero,1,22,3,2,2,1
mmT-miR-193a-5p,zero,zero,zero,zero,zero,zero,3,9,6,1,2,zero
mmT-miR-194-1-3p,zero,zero,zero,zero,zero,zero,1,zero,zero,zero,zero,zero
